comentario,comunidade_link,comunidade_texto,data_comentario,link_topico,nome_comentador,nome_topico,num_comentario
URSAL União das Repúblicas Socialistas da América Latinacomunidade para discutirmos sobre o futuro da revolução na américa latinahttp://www.orkut.com/Community.aspx?cmm=44122069&refresh=1,http://orkut.google.com/c1562400.html,Botequim Socialista,20 de fevereiro de 2008,http://orkut.google.com/c1562400-t5808a639d708374.html,aurelio Ⓐ ! - ,URSAL,1
a URSS já teve e não podíamos tbm deixar Cuba e a américa central de foraentão o melhor é URSAL mesmo,http://orkut.google.com/c1562400.html,Botequim Socialista,20 de fevereiro de 2008,http://orkut.google.com/c1562400-t5808a639d708374.html,aurelio Ⓐ ! - ,URSAL,2
"Eu acho melhor todo brasileiro que se preze tomar cuidado.Do jeito que a coisa anda, a URSAL vai acabar virando uma realidade.Hahahahahhaahhahahahahahahhahaha!!!!!!!!!",http://orkut.google.com/c1562400.html,Botequim Socialista,3 de fevereiro de 2007,http://orkut.google.com/c1562400-t8b15110b554577f5.html,Victor Coelho - ,é de rir... ou é de chorar?,3
"Veja o q querem fazer com a América do SulDelenda Carthago (Delenda deve ser destruída). Catão dizia sempre isso, no fim de todos os seus discursos.Depois da queda do Muro de Berlim em 1989, Fidel Castro convocou em 1990, junto com Luis Inácio ""Lula"" da Silva e o PT, partidos estrangeiros, grupos guerrilheiros, organizações criminosas, ... daAmérica Latina, a uma reunião na cidade de São Paulo onde se associaram numa organização denominada Foro de São Paulo.O objetivo do Foro de São Paulo é o de apoiar política e financeiramente a implantação do comunismo na América Latina.Atualmente, é implantado por diversos modos, através de meios gramscistas, via partidos de esquerda, ""Círculos Bolivarianos"", para a concretização da URSAL (União das Repúblicas Socialistas da América Latina).Este espaço é para a formulação de idéias que levem à neutralização do totalitário FORO DE SÃO PAULO!Delenda Chaves, Fidel, Evo, Lula, FARC, MST, Comunistas, Esquerdopatas,...Delenda URSAL!Veja o vídeo http://www.youtube.com/watch?v=XKI6BRCSYEo",http://orkut.google.com/c342194.html,UNE,10 de novembro de 2009,http://orkut.google.com/c342194-t441a35ad9763a552.html,alan cesar - ,Lula colocará Brasil em guerra se Chávez pedir,3
"Veja o q querem fazer com a América do SulDelenda Carthago (Delenda deve ser destruída). Catão dizia sempre isso, no fim de todos os seus discursos.Depois da queda do Muro de Berlim em 1989, Fidel Castro convocou em 1990, junto com Luis Inácio ""Lula"" da Silva e o PT, partidos estrangeiros, grupos guerrilheiros, organizações criminosas, ... daAmérica Latina, a uma reunião na cidade de São Paulo onde se associaram numa organização denominada Foro de São Paulo.O objetivo do Foro de São Paulo é o de apoiar política e financeiramente a implantação do comunismo na América Latina.Atualmente, é implantado por diversos modos, através de meios gramscistas, via partidos de esquerda, ""Círculos Bolivarianos"", para a concretização da URSAL (União das Repúblicas Socialistas da América Latina).Este espaço é para a formulação de idéias que levem à neutralização do totalitário FORO DE SÃO PAULO!Delenda Chaves, Fidel, Evo, Lula, FARC, MST, Comunistas, Esquerdopatas,...Delenda URSAL!Veja o vídeo http://www.youtube.com/watch?v=XKI6BRCSYEo",http://orkut.google.com/c60521.html,UFRN - Universidade Federal RN,10 de novembro de 2009,http://orkut.google.com/c60521-te43ad5792ff2fb75.html,alan cesar - ,Lula colocará Brasil em guerra se Chávez pedir,2
"CALAAAADO! ""PORQUE NO TE CALLAS?"" O Rei de Espanha, Juan Carlos ""O democrata"" , foi admirável quando disse ""PORQUE NO TE CALLAS?"" Ele não se dirigiu só a Chaves ""o Fanfarrão""; como democrata e defensor das liberdades (pois é, a democracia e a liberdade também precisam de firmes defensores para interpor-se contra os que as agridem), o Rei mandou calarem-se todos os déspotas e aspirantes a ditadores da Terra, presentes e ausentes, passados e futuros governantes que buscam o totalitarismo como meio de dominar a massa ignara e alheia , passo a passo, como hoje se vê, nos principais atores do Foro de São Paulo*, que querem criar a URSAL (União das Repúblicas Socialistas da América Latina). O brado do REI ""PORQUE NO TE CALLAS?""aplica-se a muitos : a Lula ""o preguiçoso passeador"", a Castro ""o morto pseudo-falante"", a Evo, Ortega, Correa, ""os bufões da corte bolivariana"", etc.  Nós, democratas (não estou falando do DEM), para contrapor-nos aos saudosistas do comunismo, que estampam o sanguinário assassino Che em suas camisas, deveríamos usar camisetas (com ou sem a figura do Rei Juan Carlos) mas com a agora já imortal frase ""PORQUE NO TE CALLAS?"", no lugar da ""falsa ternura"".  E  nem  precisa  colocar  nenhum  nome   depois da  frase, tipo ""PORQUE NO TE CALLAS, lulla?"" ou ""PORQUE NO TE CALLAS, chaves?"" ou ""PORQUE NO TE CALLAS, fidel?"", porque todos saberão por quem os sinos dobram, eles dobram por todos.  Ass. EFUPEO DENESHU (AUTORIZADA A PUBLICAÇÃO COM OU SEM OS ANEXOS)Escrito por Jacornélio M. Gonzaga",http://orkut.google.com/c342194.html,UNE,15 de novembro de 2007,http://orkut.google.com/c342194-ta6fee10a9ce77e07.html,Abutre do Apedeuta - ,A UNE apoia atitudes como as de Hugo Chavez?,4
"CALAAAADO! ""PORQUE NO TE CALLAS?"" O Rei de Espanha, Juan Carlos ""O democrata"" , foi admirável quando disse ""PORQUE NO TE CALLAS?"" Ele não se dirigiu só a Chaves ""o Fanfarrão""; como democrata e defensor das liberdades (pois é, a democracia e a liberdade também precisam de firmes defensores para interpor-se contra os que as agridem), o Rei mandou calarem-se todos os déspotas e aspirantes a ditadores da Terra, presentes e ausentes, passados e futuros governantes que buscam o totalitarismo como meio de dominar a massa ignara e alheia , passo a passo, como hoje se vê, nos principais atores do Foro de São Paulo*, que querem criar a URSAL (União das Repúblicas Socialistas da América Latina). O brado do REI ""PORQUE NO TE CALLAS?""aplica-se a muitos : a Lula ""o preguiçoso passeador"", a Castro ""o morto pseudo-falante"", a Evo, Ortega, Correa, ""os bufões da corte bolivariana"", etc.  Nós, democratas (não estou falando do DEM), para contrapor-nos aos saudosistas do comunismo, que estampam o sanguinário assassino Che em suas camisas, deveríamos usar camisetas (com ou sem a figura do Rei Juan Carlos) mas com a agora já imortal frase ""PORQUE NO TE CALLAS?"", no lugar da ""falsa ternura"".  E  nem  precisa  colocar  nenhum  nome   depois da  frase, tipo ""PORQUE NO TE CALLAS, lulla?"" ou ""PORQUE NO TE CALLAS, chaves?"" ou ""PORQUE NO TE CALLAS, fidel?"", porque todos saberão por quem os sinos dobram, eles dobram por todos.  Ass. EFUPEO DENESHU (AUTORIZADA A PUBLICAÇÃO COM OU SEM OS ANEXOS)Escrito por Jacornélio M. Gonzaga",http://orkut.google.com/c342194.html,UNE,15 de novembro de 2007,http://orkut.google.com/c342194-te32bc7ce86103098.html,Abutre do Apedeuta - ,"""Por que não se cala?"", diz rei espanhol a Chávez.",25
"O PERIGONazistas, fascistas e comunistas nada mais são do que as três bocarras de um monstro só, o Cérbero demoníaco que fugiu do inferno no século XX. É este monstro totalitário que as esquerdas querem nos impor goela abaixo. Para isto, criaram o Foro São Paulo, formado por partidos de esquerda, terroristas e traficantes, como as FARC. O objetivo é transformar nossa região numa nova União Soviética, a União das Repúblicas Socialistas da América Latina (URSAL). MOVCC",http://orkut.google.com/c35007733.html,UPEC,20 de maio de 2010,http://orkut.google.com/c35007733-ta97670f05f94111d.html,Ester Azoubel - ,Comunismo - Foro de São Paulo - O Perigo,1
".Há dois anos somos informados exaustivamente sobre o GOLPE que está sendo implantado no Brasil. Há quatro anos, nós sabemos que Chavez quer a GUERRA assimétrica contra o imperialismo norte americano. Há décadas, nós sabemos que Fidel não está quieto, isolado em sua ilha da fantasia. O que há com nosso entendimento? Que vírus é esse que se alastrou nas consciências cívicas brasileiras que nos impede de dizer CHEGA? O que somos? um povo frouxo ? imbecil?Ora senhores, está mais do que claro que está formado um BLOCO anti-imperialista norte-americano, composto de regimes totalitários como o da Venezuela, o da China, de governos terroristas como o Irã, o Iraque, a Síria. Apoiados em grupos ilegais como as FARC, em partidos terroristas como o Hesbollah, em bandidos cooptados nos grotões do narcotráfico. em nome de um socialismo duvidoso, retrógrado, que na realidade não passa de populismo totalitário, esses presidentes sul-americanos estão dando um golpe fatal na Democracia. Esse Bloco já está atacando. Não é futuro, já é passado. E é presente no BRASIL também. Lula é claramente amigo de Chavez, Morales, Fidel, Kirshner. Seus ídolos estão enterrados em solo soviético.O PT ao longo de 16 anos (1990, ano da fundação do Foro de São Paulo por Fidel e Lula) planejou e executou a tomada de poder para implantar um regime anti-democrático. Aparelhou o Estado com mais de 30 mil militantes, aparelhou as instituições públicas e colocou em seu comando seus militantes, no Judiciário, nas Forças Armadas, nas empresas públicas, nos ministérios. Contra o Legislativo, usou a desmoralização que viria da descoberta do ""mensalão"". Paralisou as defesas democráticas com o veneno letal da corrupção. E para que? O nome é URSAL. União das Republicas Socialistas de América Latina. A integração dos governos nacionais totalitários em um só grande BLOCO latino-americano.",http://orkut.google.com/c10949873.html,Um país chamado Banânia,29 de janeiro de 2007,http://orkut.google.com/c10949873-t68f17bd13b913e4f.html,Luís FL - ,TODO MUNDO SABE ... MAS NINGUÉM FAZ NADA,1
Dois pesos e duas medidas!Lula associou o Brasil a URSAL e vai dar cabo das FFAA para que ela não venha se opor à empreitada comunista desses corruptos e aventureiros latinos.,http://orkut.google.com/c46500829.html,Uribe É O CARA!,8 de março de 2008,http://orkut.google.com/c46500829-t4386e424be8faa.html,Adela Lenoxx - ,Colômbia e Guiana x Equador e Venezuela e o FORO,3
"Quem quizer saber quem é o verdadeiro Lu-la tem que pesquisar seus ""discursos"" dostempos do sindicato,greves,fundação do PTe o que escreveram sobre ele:Frei Betto,Frei Leonardo Boff,Mário Morel,RicarodoKotsho etc.Irá descobrir que Luiz Ináciofoi transformado em Lula por essa gentede que fala Carlos Vereza e foi ""deixado""livre,pelo regime militar,a fim de divi-dir as esquerdas que retornavam do exílio-Luis Carlos Prestes, Leonel M Brizola,Fernando Gabeira,Betinho etc. 0 perigo deLula no poder é a vitória dos planos hegemônicos de Fidel,Chavez,Morales e Lulajuntos no Foro de São Paulo, URSAL e essaidéia de Jumento que é a ""Revolução Boli-variana"".Só que nessa turba o chefe é  oHugo Chavez.0 episódio do gás bolivianoprovou isso.É rever o caso e a atuação deChavez, Morales e Lula.Lembrar que antesda reunião na Argentina Chavez foi com oMorales tomar a bênção a Fidel Castro!",http://orkut.google.com/c8066153.html,VAZA LULA  !,8 de junho de 2006,http://orkut.google.com/c8066153-t60279581ca728f6.html,José luiz Sousa - ,LULA POR CARLOS VEREZA...,3
"o fim do Brasil está próximo...em breve seremos uma das províncias da União das Repúblicas Socialistas da América Latina, a URSAL.E nosso exército estará batendo continencia para Hugo Chávez, Fidel Castro e etc, para a alegira de muitos falsos católicos que escreveram suas sandices neste tópico em apoio à candidatura oficial.",http://orkut.google.com/c55975.html,Católicos,31 de outubro de 2010,http://orkut.google.com/c55975-t6735b7a369a9e2f5.html,André Augusto Custódio - ,Em quem votar para Presidente na eleição de 2010?,2328
"Caro Walmor, ainda têm o México. Entretanto, haverá eleições por lá esse ano, e pelo o que tenho acompanhado, a direita (apoiada pelos EUA), será eleitoralmente varrida - quatro anos depois de ter ganho as últimas eleições presidenciais por pequeníssima margem de vantagem e sob fortíssimos indícios de fraude...Sou bastante cético em acreditar que essas ""vitórias eleitorais"" causem uma mudança muito significativa na política (sobretudo econômica). O que da para dizer, é que na América Latina, como um todo, vive-se um momento de claro declínio político da direita eleitoral (após essa ter um predomínio bastante claro nos '80, '90 - muitas vezes chegando e/ou sendo mantidas no poder por meio de ditaduras militares).Entretanto, acho que é um momento positivo, ainda mais se pensarmos em termos da integração política (tão necessária) entre os países latino-americanos. Um exemplo... o presidente recém-eleito do Peru já deu várias declarações no sentido de uma grande simpatia pela participação do país no MERCOSUL e na UNASUL... para aqueles que acreditam ser necessário uma integração e independência latino-americanas, com certeza já é um avanço...Com relação a possibilidade da efetivação de uma organização como a URSAL, eu penso que, infelizmente, ainda é algo muito distante do horizonte de hoje...abraço!",http://orkut.google.com/c1917741.html,Ciência Política,9 de junho de 2011,http://orkut.google.com/c1917741-t2c3dbce0ada0ee8d.html,Gustavo Casasanta - ,Esquerda vence eleições no Peru,3
"Sobre a questão sobre a gênese de uma organização, denominada URSAL, remeto aos escritos do bom Simon Bolivar, especificamente à Carta da Jamaica.",http://orkut.google.com/c1917741.html,Ciência Política,11 de junho de 2011,http://orkut.google.com/c1917741-t2c3dbce0ada0ee8d.html,Pedro L M - ,Esquerda vence eleições no Peru,6
"Filipe, mas o Lula subscreveu um compromisso expresso de submissão do Brasil às Decisões emanadas no Foro de S. Paulo e futuramente, com a criação da URSAL (União das Repúblicas Socialistas da América latina)  significará a extinção do Brasil como nação soberana.Isso em qualquer país sério seria visto como traição.Essa imagem de bom moço dele foi construida pelo Duda Mendonça. Somente as pessoas que o viram nos anos de militância pelos sindicatos e depois pelo partido é que conseguem ver o quanto ele é dissimulado. Por outro lado, o caso do Zairo já virou sociopatia.Se esse problema tivesse ocorrido em um governo de outro partido, ele certamente estaria indignado.Os textos dele são eivados de eufemismos quando a cagada vem do governo petista.",http://orkut.google.com/c474135.html,Cidade de Breves,10 de novembro de 2010,http://orkut.google.com/c474135-t6bbd7c45f3a9f86c.html,Orlando Miranda . - ,Mais uma do ALIENADO Presidente LULA!!!ENEM,8
"O Lula traiu o Brasil em 2001 quando assinou um compromisso com o Foro de São Paulo a ser cumprido quando ele se tornasse governante. Eu tenho cópia dessa ata.Esse documento poderia ser visualizado até meados de fevereiro de 2002,  no portal eletrônico do Foro. Mas aí o portal ficou inacessível por uns 3 meses. Quando voltou já veio sem as atas.Mas nos chegamos a fazer o download de 90% delas.O simples fato dele ser o fundador do Foro de S. Paulo e fazer parte do projeto URSAL já o coloca, no mínimo, sob suspeita.",http://orkut.google.com/c474135.html,Cidade de Breves,11 de novembro de 2010,http://orkut.google.com/c474135-t6bbd7c45f3a9f86c.html,Orlando Miranda . - ,Mais uma do ALIENADO Presidente LULA!!!ENEM,13
"Bingo Filipe!Agora cabe ao amigo acompanhar e, com o passar dos anos, constatar o Brasil paulatinamente se tornar refém da canalhada da UNASUL e, finalmente: da URSAL.Somente o tempo vai nos mostrar as implicações daquele compromisso assinado em 2001.Mas um dos sintomas desse acordo já pode ser sentido:Os 15.000 homicidios por ano no RJ, a maioria por armas fornecidas pelas FARC ao PCC, sendo que as FARC fazem parte do Foro de S. Paulo e são protegidas pelo PT. Marcos, por mim tudo bem, embora eu esteja convencido de que não vai surtir nenhum efeito.",http://orkut.google.com/c474135.html,Cidade de Breves,12 de novembro de 2010,http://orkut.google.com/c474135-t6bbd7c45f3a9f86c.html,Orlando Miranda . - ,Mais uma do ALIENADO Presidente LULA!!!ENEM,16
Você fala do Foro de S. Paulo? Dos pelegos do MST?Dos ogros das centrais sindicais?Da URSAL?Seria apenas choradeira de quem teve toda a panfletagem barata MUITO BEM CONTESTADA ?Para você "quem não está com o PT é inimigo do PT"?Pergunto-lhe isso porque Hitler e Stalin pensavam dessa mesmíssima  forma binária.Deu no que deu...,http://orkut.google.com/c474135.html,Cidade de Breves,21 de outubro de 2010,http://orkut.google.com/c474135-t70de080e551ead9b.html,Orlando Miranda . - ,A mente,2
Você fala do Foro de S. Paulo? Dos pelegos do MST?Dos ogros das centrais sindicais?Da URSAL?Seria apenas choradeira de quem teve toda a panfletagem barata MUITO BEM CONTESTADA ?Para você "quem não está com o PT é inimigo do PT"?Pergunto-lhe isso porque Hitler e Stalin pensavam dessa mesmíssima  forma binária.Deu no que deu...,http://orkut.google.com/c474135.html,Cidade de Breves,21 de outubro de 2010,http://orkut.google.com/c474135-t70de080e551ead9b.html,Orlando Miranda . - ,A mente,2
